Município;UF;Pop. urb.;Reg.;Cod. nacional;ALGAR CELULAR S/A: Atende;ALGAR CELULAR S/A: Nº ERBs;CLARO S.A.: Atende;CLARO S.A.: Nº ERBs;NEXTEL TELECOMUNICACOES LTDA: Atende;NEXTEL TELECOMUNICACOES LTDA: Nº ERBs;OI MÓVEL S.A.: Atende;OI MÓVEL S.A.: Nº ERBs;SERCOMTEL CELULAR S.A.: Atende;SERCOMTEL CELULAR S.A.: Nº ERBs;TELEFÔNICA BRASIL S.A.: Atende;TELEFÔNICA BRASIL S.A.: Nº ERBs;TIM CELULAR S.A.: Atende;TIM CELULAR S.A.: Nº ERBs;TNL PCS S.A.: Atende;TNL PCS S.A.:Nº ERBs
 Acrelândia;AC;13353;II;68;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;2;Sim;1;Não;0
 Assis Brasil;AC;6480;II;68;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Brasiléia;AC;22899;II;68;Não;0;Sim;2;Não;0;Sim;1;Não;0;Sim;2;Sim;1;Não;0
 Bujari;AC;9003;II;68;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Capixaba;AC;9836;II;68;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Cruzeiro do Sul;AC;80377;II;68;Não;0;Sim;3;Não;0;Sim;2;Não;0;Sim;8;Sim;2;Não;0
 Epitaciolândia;AC;16099;II;68;Não;0;Sim;1;Não;0;Sim;0;Não;0;Sim;1;Sim;0;Não;0
 Feijó;AC;32411;II;68;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Jordão;AC;7147;II;68;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Mâncio Lima;AC;16410;II;68;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Manoel Urbano;AC;8386;II;68;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Marechal Thaumaturgo;AC;15857;II;68;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Plácido de Castro;AC;17795;II;68;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Não;0;Não;0
 Porto Acre;AC;16029;II;68;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;3;Não;0;Não;0
 Porto Walter;AC;10143;II;68;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Rio Branco;AC;357194;II;68;Não;0;Sim;30;Sim;7;Sim;34;Não;0;Sim;31;Sim;35;Não;0
 Rodrigues Alves;AC;15968;II;68;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Santa Rosa do Purus;AC;5374;II;68;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Sena Madureira;AC;40311;II;68;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;3;Sim;1;Não;0
 Senador Guiomard;AC;20799;II;68;Não;0;Sim;2;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Tarauacá;AC;37571;II;68;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Xapuri;AC;17021;II;68;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Água Branca;AL;20545;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Anadia;AL;17989;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Arapiraca;AL;227640;I;82;Não;0;Sim;7;Não;0;Não;0;Não;0;Sim;11;Sim;28;Sim;7
 Atalaia;AL;46787;I;82;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;2;Sim;1
 Barra de Santo Antônio;AL;15377;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;2;Sim;1
 Barra de São Miguel;AL;8112;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;3;Sim;2;Sim;2
 Batalha;AL;18201;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Belém;AL;4737;I;82;Não;0;Sim;2;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Belo Monte;AL;6751;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Boca da Mata;AL;27074;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;3;Não;0
 Branquinha;AL;10823;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Cacimbinhas;AL;10729;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Cajueiro;AL;21480;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Campestre;AL;6925;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Campo Alegre;AL;55161;I;82;Não;0;Sim;2;Não;0;Não;0;Não;0;Não;0;Sim;3;Sim;1
 Campo Grande;AL;9631;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Canapi;AL;17880;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Capela;AL;17266;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;3;Não;0
 Carneiros;AL;8758;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Chã Preta;AL;7413;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Coité do Nóia;AL;11110;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Colônia Leopoldina;AL;21307;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Coqueiro Seco;AL;5817;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1
 Coruripe;AL;55648;I;82;Não;0;Sim;6;Não;0;Não;0;Não;0;Sim;4;Sim;6;Sim;3
 Craíbas;AL;23885;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Delmiro Gouveia;AL;50999;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;3;Sim;1
 Dois Riachos;AL;11234;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Estrela de Alagoas;AL;18123;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Feira Grande;AL;22377;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Feliz Deserto;AL;4678;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Flexeiras;AL;12862;I;82;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;2;Sim;2;Sim;1
 Girau do Ponciano;AL;39657;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Ibateguara;AL;15762;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Igaci;AL;26051;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Igreja Nova;AL;24328;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;3;Não;0
 Inhapi;AL;18516;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Jacaré dos Homens;AL;5511;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Jacuípe;AL;7193;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Japaratinga;AL;8234;I;82;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Jaramataia;AL;5718;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Jequiá da Praia;AL;11969;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;3;Não;0
 Joaquim Gomes;AL;23813;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Sim;2;Sim;3
 Jundiá;AL;4275;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Junqueiro;AL;25073;I;82;Não;0;Sim;2;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Lagoa da Canoa;AL;18566;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Limoeiro de Anadia;AL;28244;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Maceió;AL;996733;I;82;Não;0;Sim;71;Sim;18;Não;0;Não;0;Sim;90;Sim;87;Sim;120
 Major Isidoro;AL;19874;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Mar Vermelho;AL;3698;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Maragogi;AL;31299;I;82;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;2;Sim;2;Sim;2
 Maravilha;AL;10168;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Marechal Deodoro;AL;49853;I;82;Não;0;Sim;7;Não;0;Não;0;Não;0;Sim;5;Sim;6;Sim;4
 Maribondo;AL;13807;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Mata Grande;AL;25349;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Matriz de Camaragibe;AL;25005;I;82;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Messias;AL;17110;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Minador do Negrão;AL;5439;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Monteirópolis;AL;7219;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Murici;AL;28158;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Novo Lino;AL;12479;I;82;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Olho d'Água das Flores;AL;21499;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;2;Sim;1
 Olho d'Água do Casado;AL;9114;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Olho d'Água Grande;AL;5159;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Olivença;AL;11594;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Ouro Branco;AL;11409;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Palestina;AL;4934;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Palmeira dos Índios;AL;73532;I;82;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;4;Sim;6;Sim;2
 Pão de Açúcar;AL;24975;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Pariconha;AL;10674;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Paripueira;AL;12474;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Passo de Camaragibe;AL;15372;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Paulo Jacinto;AL;7685;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Penedo;AL;63595;I;82;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;3;Sim;5;Sim;3
 Piaçabuçu;AL;17941;I;82;Não;0;Sim;2;Não;0;Não;0;Não;0;Não;0;Sim;3;Não;0
 Pilar;AL;35003;I;82;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;3;Sim;3;Sim;2
 Pindoba;AL;2961;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Piranhas;AL;24556;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;2;Sim;1
 Poço das Trincheiras;AL;14401;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Porto Calvo;AL;27047;I;82;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Porto de Pedras;AL;8362;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Porto Real do Colégio;AL;20066;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Sim;2;Sim;1
 Quebrangulo;AL;11700;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Rio Largo;AL;71834;I;82;Não;0;Sim;5;Não;0;Não;0;Não;0;Sim;6;Sim;5;Sim;6
 Roteiro;AL;6836;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Santa Luzia do Norte;AL;7257;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1
 Santana do Ipanema;AL;47352;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;3;Sim;1
 Santana do Mundaú;AL;11134;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0;Não;0
 São Brás;AL;7006;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 São José da Laje;AL;23847;I;82;Não;0;Sim;2;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1
 São José da Tapera;AL;31867;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 São Luís do Quitunde;AL;34239;I;82;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 São Miguel dos Campos;AL;59077;I;82;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;3;Sim;5;Sim;2
 São Miguel dos Milagres;AL;7709;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 São Sebastião;AL;33826;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Satuba;AL;15737;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Senador Rui Palmeira;AL;13765;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Tanque d'Arca;AL;6374;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Taquarana;AL;19725;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Teotônio Vilela;AL;43605;I;82;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;2;Sim;2;Sim;1
 Traipu;AL;27488;I;82;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Sim;1;Não;0
 União dos Palmares;AL;65495;I;82;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;1;Sim;2;Sim;1
 Viçosa;AL;26289;I;82;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;2;Sim;1
 Alvarães;AM;15166;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0;Sim;1
 Amaturá;AM;10436;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Anamã;AM;11636;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Anori;AM;18351;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;2
 Apuí;AM;19860;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Atalaia do Norte;AM;17174;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Autazes;AM;35554;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Barcelos;AM;27110;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Barreirinha;AM;29737;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Benjamin Constant;AM;37564;I;97;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Beruri;AM;17332;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Boa Vista do Ramos;AM;16820;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Boca do Acre;AM;32792;I;97;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;2;Não;0
 Borba;AM;38073;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0;Sim;1
 Caapiranga;AM;12004;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Canutama;AM;14754;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Carauari;AM;27405;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Careiro;AM;35431;I;92;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Careiro da Várzea;AM;26722;I;92;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Coari;AM;81325;I;97;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;2;Sim;1
 Codajás;AM;25696;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Eirunepé;AM;33127;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Envira;AM;18051;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Fonte Boa;AM;21859;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Guajará;AM;15291;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Humaitá;AM;49137;I;97;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;2;Sim;1
 Ipixuna;AM;25362;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Iranduba;AM;44503;I;92;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;6;Sim;2;Sim;3
 Itacoatiara;AM;94278;I;92;Não;0;Sim;4;Não;0;Não;0;Não;0;Sim;12;Sim;2;Sim;1
 Itamarati;AM;8232;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Itapiranga;AM;8774;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Japurá;AM;6083;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Juruá;AM;12408;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Jutaí;AM;17376;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Lábrea;AM;41600;I;97;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Manacapuru;AM;91795;I;92;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;8;Sim;1;Sim;2
 Manaquiri;AM;26530;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Manaus;AM;1982177;I;92;Não;0;Sim;122;Sim;56;Não;0;Não;0;Sim;324;Sim;214;Sim;119
 Manicoré;AM;51331;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Maraã;AM;18310;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Maués;AM;57663;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;1
 Nhamundá;AM;19792;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Nova Olinda do Norte;AM;33829;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Novo Airão;AM;16719;I;92;Não;0;Não;0;Sim;1;Não;0;Não;0;Sim;1;Não;0;Não;0
 Novo Aripuanã;AM;23486;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Parintins;AM;109225;I;92;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;11;Sim;4;Sim;2
 Pauini;AM;19149;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Presidente Figueiredo;AM;30978;I;92;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;2
 Rio Preto da Eva;AM;28999;I;92;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;3;Sim;1;Sim;1
 Santa Isabel do Rio Negro;AM;20986;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Santo Antônio do Içá;AM;24327;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 São Gabriel da Cachoeira;AM;41575;I;97;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;2;Sim;2;Não;0
 São Paulo de Olivença;AM;34963;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 São Sebastião do Uatumã;AM;12115;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Silves;AM;8946;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Tabatinga;AM;58314;I;97;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Tapauá;AM;18383;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Tefé;AM;62885;I;97;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;3;Sim;1
 Tonantins;AM;18162;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Uarini;AM;12801;I;97;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Urucará;AM;17367;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Urucurituba;AM;20091;I;92;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0;Sim;1
 Amapá;AP;8483;I;96;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Calçoene;AP;9793;I;96;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Cutias;AP;5173;I;96;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Ferreira Gomes;AP;6525;I;96;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Itaubal;AP;4722;I;96;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Laranjal do Jari;AP;43832;I;96;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;3;Sim;1;Sim;0
 Macapá;AP;437256;I;96;Não;0;Sim;17;Sim;10;Não;0;Não;0;Sim;40;Sim;38;Sim;45
 Mazagão;AP;18739;I;96;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0;Não;0
 Oiapoque;AP;22986;I;96;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;2
 Pedra Branca do Amapari;AP;12828;I;96;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Porto Grande;AP;18708;I;96;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0;Sim;1
 Pracuúba;AP;4277;I;96;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Santana;AP;108897;I;96;Não;0;Sim;5;Não;0;Não;0;Não;0;Sim;8;Sim;5;Sim;6
 Serra do Navio;AP;4761;I;96;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Tartarugalzinho;AP;14292;I;96;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Vitória do Jari;AP;13724;I;96;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;0
 Abaíra;BA;9132;I;77;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Abaré;BA;18989;I;75;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Acajutiba;BA;15615;I;75;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Adustina;BA;16929;I;75;Não;0;Não;0;Sim;1;Não;0;Não;0;Sim;1;Não;0;Não;0
 Água Fria;BA;16871;I;75;Não;0;Sim;1;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0
 Aiquara;BA;4767;I;73;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Alagoinhas;BA;152570;I;75;Não;0;Sim;5;Não;0;Não;0;Não;0;Sim;5;Sim;3;Sim;3
 Alcobaça;BA;23176;I;73;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Almadina;BA;6327;I;73;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Amargosa;BA;37081;I;75;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;3
 Amélia Rodrigues;BA;26477;I;75;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;3;Sim;4;Sim;3
 América Dourada;BA;16884;I;74;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Anagé;BA;20698;I;77;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;1
 Andaraí;BA;14738;I;75;Não;0;Sim;3;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Andorinha;BA;14936;I;74;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Angical;BA;14762;I;77;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Anguera;BA;11113;I;75;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Antas;BA;18744;I;75;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0;Não;0
 Antônio Cardoso;BA;12206;I;75;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Antônio Gonçalves;BA;11973;I;74;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Aporá;BA;18976;I;75;Não;0;Não;0;Sim;1;Não;0;Não;0;Sim;1;Não;0;Não;0
 Apuarema;BA;7795;I;73;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0;Não;0
